       0.000000        0.000000 A
       0.881029      101.298248 B
     -91.863633       44.709418 C
     -90.739268      142.984367 D
    -177.854894       94.742839 E
    -181.532505       -5.004034 F
    -264.381112       45.393790 G
    -270.895407      -55.472503 H
    -183.233006     -101.733439 I
    -272.469350     -154.215305 J
    -178.658913     -198.127829 K
     -90.580996     -147.642750 L
     -96.260198     -249.269108 M
      -8.786830     -202.537437 N
      -5.849002     -100.562277 O
      78.085098     -153.544086 P
      81.480989      -52.263867 Q
      87.633319       51.402077 R
