       0.000000        0.000000 A
      15.580186      -25.999113 A_close
       0.000000      101.338000 B
      11.652732       74.520190 B_close
     -91.408883       41.258933 C
     -94.154895      138.892324 D
    -179.179517       85.661586 E
    -176.693450      -15.318816 F
    -262.155301       31.397858 G
    -263.312253      -69.198489 H
    -174.016766     -113.585368 I
    -264.198153     -166.954475 J
    -171.514265     -210.604098 K
     -81.893512     -164.419743 L
     -92.451909     -266.096003 M
      -2.705989     -224.876955 N
       6.368763     -124.454143 O
      87.426877     -180.590985 P
      95.939294      -78.882584 Q
     100.950554       26.387206 R
